"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",12412.663,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",14337.364,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",14950.658,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",14853.952,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",15028.456,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",15683.884,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",152546.763,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",211365.965,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",276001.787,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",337121.176,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",339961.53,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",404047.893,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",469955.244,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",501045.187,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",528881.721,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",553049.403,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",581495.329,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",636211.339,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",661173.328,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",655856.686,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",598573.927,
"DNK","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",611895.405,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",69070.125,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",84099.448,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",112230.18,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",143412.785,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",142462.932,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",171182.343,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",209057.337,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",183160.245,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",214594.657,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",219258.394,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",128722.917,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",141541.274,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",159313.632,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",148854.731,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",132904.816,
"FIN","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",134867.425,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",132412.497,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",167124.569,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",170527.784,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",200090.696,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",201878.441,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",202739.897,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",225612.122,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",254357.067,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",237420.897,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",224996.186,
"FRA","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",231232.647,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2000",73996.918,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",67537.829,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",77654.204,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",99583.598,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",116972.956,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",112274.814,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",132659.037,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",170371.004,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",165634.075,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",187937.675,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",187279.528,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",192912.325,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",221111.507,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",236931.745,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",236203.874,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",220177.425,
"DEU","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",227311.911,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",36.217,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",47.094,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",65.449,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",70.78,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",94.629,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",113.455,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",1350.179,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",1322.167,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",1235.675,
"GRC","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",1254.117,
"HUN","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",7039.799,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",6349.354,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",8614.644,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",11875.619,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",16685.937,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",19725.876,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",21627.689,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",28097.03,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",14679.437,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",15459.84,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",18199.488,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",18578.788,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",19892.29,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",24546.824,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",24243.662,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",26650.614,
"ISL","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",32359.333,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",45077.437,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",46992.352,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",70034.613,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",84904.733,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",91937.324,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",115559.243,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",127487.099,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",88399.253,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",104011.32,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",100883.1,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",93548.97,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",106211.7,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",126187.65,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",136534.784,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",122324.155,
"IRL","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",107780.671,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",535081.214,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",586729.099,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",516703.838,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",387820.64,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",281840.036,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",1068565.75,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",965097.133,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",867930.465,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",869084.027,
"JPN","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",1598099.563,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",42664.597,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",47553.533,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",60866.594,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",69382.329,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",70666.401,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",76050.845,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",62432.062,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",87418.971,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",160878.221,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",191995.795,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",249291.752,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",292780.663,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",326938.514,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",343461.93,
"KOR","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",364392.272,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",,"C"
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",,"C"
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",,"C"
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",127.104,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",377.832,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",466.58,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",550.436,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",542.095,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",1215.189,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",1067.266,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",1075.902,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",1189.597,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",1322.695,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",1801.372,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",1571.792,
"LUX","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",1658.995,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",27187.641,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",31515.918,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",35736.558,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",42779.002,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",77924.905,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",97911.129,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",112399.085,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",98124.73,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",116944.426,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",146062.148,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",142650.391,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",181574.006,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",194770.38,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",195520.678,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",175939.065,
"MEX","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",156502.576,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2000",437109.285,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",404910.181,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",417138.253,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",609552.849,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",723379.982,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",730883.135,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",884865.96,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",1137126.589,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",932778.575,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",979400.554,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",1015665.663,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",1055651.904,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",1229054.085,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",1335091.54,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",1282009.469,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",1266433.541,
"NLD","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",1360624.901,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",7443.117,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",7418.54,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",8640.58,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",11052.834,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",12531.942,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",12405.649,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",14099.897,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",15384.378,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",12370.91,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",19275.213,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",23928.736,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",28406.414,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",33830.523,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",40495.502,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",39729.357,
"NZL","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",45370.357,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2000",2221.684,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",4754.086,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",8110.457,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",12027.973,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",20951.584,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",26436.129,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",40752.105,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",58453.388,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",47492.802,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",64136.547,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",75846.227,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",67589.74,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",89243.817,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",102911.37,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",47051.85,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",40470.125,
"POL","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",41038.495,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",0.002,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",0.005,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",8.355,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",0,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",282.92,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",1742.623,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",3365.74,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",4417.184,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",5713.028,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",6523.355,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",7502.609,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",8993.797,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",9926.223,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",9644.606,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",8749.853,
"SVK","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",9522.567,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",46077.713,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",85241.063,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",116531.074,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",136722.694,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",130359.445,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",160132.713,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",194787.242,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",175804.693,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",192368.792,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",179583.142,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",172641.99,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",180436.962,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",199630.2,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",183600.209,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",168043.862,
"ESP","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",164240.517,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2000",61647.93,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",70559.831,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",93882.946,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",115642.352,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",156697.76,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",155130.428,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",234208.088,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",274642.79,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",236822.011,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",242121.97,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",280018.779,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",322190.136,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",377350.45,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",399517.42,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",383673.965,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",374145.579,
"SWE","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",389264.086,
"CHE","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",907734.999,
"CHE","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",880702.603,
"CHE","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",892585.595,
"CHE","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",909680.715,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",1638.837,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",3233.032,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",4024.131,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",8793.676,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",9309.041,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",14542.994,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",16768.516,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",28284.44,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",30199.729,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",35543.012,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",41119.007,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",37196.459,
"TUR","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",35216.581,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",1072924.698,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",1019320.05,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",1294503.59,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",1538431.562,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",1647240.138,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",2079091.82,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",2120228.271,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",1309981.996,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",1631332.067,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",1793721.721,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",1886204.894,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",2146166.79,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",2364943.131,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",2300809.618,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",2278920.65,
"GBR","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",2205295.886,
"USA","PRIVPENSIONASSET","TOT","MLN_USD","A","2000",11679835,
